瑤	瑶
嚢	囊
鈅	钺
倣	仿
𢎯	夷
雑	杂
慟	恸
羢	绒
瞼	睑
剗	刬
輋	畲
嶒	崚
𫝶	座
鶏	鸡
歩	步
旉	敷
滅	灭
觫	觳
頬	颊
靨	靥
鈫	鈙
誋	忌
𧀹	蔗
𪰄	杠
玁	猃
掻	搔
訴	诉
頇	顸
濺	溅
閃	闪
薔	蔷
毱	鞠
嘊	啀
𫞛	㶆
傘	伞
𫎠	賢
縹	缥
豘	豚
窂	牢
蘤	花
𫝨	媈
玜	玒
衆	眾
馭	驭
鵓	鹁
慙	惭
勩	勚
㟁	岸
馗	逵
桺	柳
岅	坂
硋	碍
黷	黩
賷	赍
鐞	鎒
甠	晴
龝	秋
舮	艫
裢	褡
帀	匝
衺	邪
勝	胜
紪	緀
滷	卤
槑	梅
谸	芊
堾	踳
稈	秆
愸	整
譆	嘻
獧	狷
蛑	蝤
鎒	耨
𫝢	升
𪪨	廩
鶻	鹘
獘	毙
𫞝	灍
脃	脆
斈	学
澮	浍
樝	楂
膚	肤
㚣	姣
塠	堆
峝	峒
訕	讪
蔕	蒂
噽	嚭
寬	宽
饁	馌
鈍	钝
遞	递
扅	扊
箥	笸
穉	稚
𠋣	倚
慳	悭
庂	仄
詉	呶
煒	炜
巚	巘
孶	孳
𠄞	上
甕	瓮
丗	世
鹩	鹪
覡	觋
滄	沧
汦	坻
謐	谧
螃	蟹
蕑	蕳
籛	篯
圑	圃
皁	皂
𥼝	黐
竇	窦
誑	诳
鄥	鄡
韚	革
鯤	鲲
輥	辊
釗	钊
販	贩
匘	脑
韞	韫
憂	忧
擕	攜
韥	韣
趂	趁
畽	疃
鰭	鳍
𪾙	膿
滲	渗
昺	炳
薟	莶
𪥪	祁
𤜱	豝
睂	眉
侫	佞
𫟞	訨
𪲉	茩
層	层
襽	襴
𤘀	檮
灧	滟
擧	举
衜	道
慿	凭
塡	填
蹨	跈
𫞞	灌
壠	垅
驢	驴
剓	劙
潿	涠
靗	竀
簫	箫
竅	窍
逥	迴
𥞑	秭
跧	蜷
𩻌	鯬
槡	桑
碸	砜
靝	靔
誹	诽
蓀	荪
浹	浃
舧	舤
皥	皞
檏	朴
飻	餮
誦	诵
紙	纸
軲	轱
瘍	疡
鵲	鹊
抦	秉
鑌	镔
𡚁	弊
𤫊	靈
鯨	鲸
黿	鼋
輈	辀
熋	熊
儹	攒
蘆	芦
誼	谊
鏥	锈
戰	战
颭	飐
負	负
斾	旆
蝅	蚕
魐	尴
蕎	荞
燁	烨
蓽	荜
褃	裉
鍿	锱
𧀍	䒼
秶	粢
暱	昵
獰	狞
匛	柩
暬	亵
覍	弁
矴	碇
氼	溺
驟	骤
捄	救
絆	绊
蘓	苏
𫄩	䋦
伂	沛
鰁	鳈
鶵	雏
舕	舑
澩	泶
熈	熙
縮	缩
骦	骕
儨	质
鑾	銮
彛	彝
搃	总
鉆	钻
欟	罐
𡨧	宰
岀	出
緧	鞧
畡	垓
𪵉	捏
竮	竛
哰	囒
賃	赁
𪢽	封
硶	碜
𦟾	膒
棧	栈
䱉	鳝
嚉	咄
媇	亲
閻	阎
薭	稗
麘	香
㕈	庡
療	疗
擹	摊
幗	帼
餧	喂
鰉	鳇
斅	斆
諍	诤
絎	绗
膿	脓
唸	念
掲	揭
甦	苏
鐷	鍱
𫠀	䥄
埡	垭
勧	劝
皳	毬
垚	尧
庽	寓
詗	诇
礮	炮
𡰵	屐
曡	叠
逦	迤
踋	脚
儀	仪
嫮	嫭
診	诊
錯	错
劑	剂
䬪	馎
崺	峛
銩	铥
岡	冈
敺	驱
鄖	郧
繿	褴
幇	帮
緖	緒
鵒	鹆
鏗	铿
僲	仙
悮	误
譔	撰
墬	地
軑	轪
餞	饯
𫅓	羴
狲	猢
渪	濡
侶	侣
眿	眽
𤕤	爽
鷵	鶶
蚸	螇
頴	颕
鴪	鴥
䥴	鐫
琍	璃
摀	捂
執	执
縟	缛
翫	玩
脦	肋
鋮	铖
洍	汜
幤	幣
炚	光
柾	柩
叏	夬
𫝥	養
壜	坛
匧	篋
砇	玟
窰	窑
卩	节
騨	驒
𩶑	魯
鈟	钓
𤵚	㾃
悜	慏
顨	巽
鸃	鵔
酻	醉
肕	韧
嗸	嗷
皹	皲
峋	嶙
灘	滩
賞	赏
攏	拢
鏈	链
綢	绸
歺	歹
謉	愧
蠒	繭
鳬	凫
裝	装
珪	圭
楍	本
𧘐	袥
劚	斸
咛	叮
呍	吽
鍃	锪
蘏	絅
𩻳	鯬
鄆	郓
遜	逊
䧍	隙
乵	进
鰈	鲽
𫠚	齣
驑	骝
𪭵	掚
蔮	帼
𠳆	哉
徳	德
倻	伽
駡	骂
蹤	踪
鯀	鲧
灍	㵐
餻	糕
檉	柽
輝	辉
錕	锟
栆	棗
騡	駩
囏	艰
𫋒	蛕
𪧥	福
榤	桀
粃	秕
铞	钌
礢	癢
𫝔	堯
絏	绁
猶	犹
廀	廋
寢	寝
帬	裙
轎	轿
秔	粳
昷	温
饚	餀
辯	辩
𢲷	拗
甆	瓷
𪦧	祁
虯	虬
陧	杌
張	张
漄	涯
瀕	濒
尦	尥
畵	画
據	据
𡆣	㘝
厫	廒
䴡	麗
敍	叙
闙	啓
萕	荠
𢳛	摣
𫞫	畩
瑙	玛
韃	鞑
牀	床
坓	阱
騻	驦
剛	刚
蠩	蝫
龫	幹
𠞰	剿
𪯐	揥
鏌	镆
搯	掏
𠷠	唘
鐤	鼎
衊	蔑
荜	筚
騖	骛
祶	禘
厙	厍
峯	峰
隌	暗
滾	滚
塱	㙟
矂	眊
蒓	莼
鎦	镏
凍	冻
艤	舣
𫝸	彦
媄	美
逪	错
綳	绷
褀	帺
姪	侄
忄	心
㛐	嫂
譽	誉
荳	豆
殼	壳
刱	创
𫞇	臘
顄	颔
卆	卒
𪣗	振
𪜥	廩
愗	怐
鮏	鯹
𦏁	羲
拕	拖
勈	勇
璍	烨
吳	吴
釡	釜
衂	衄
曯	烛
礬	矾
蟸	蠡
郍	那
緐	繁
菢	抱
絃	弦
賓	宾
鏀	鐪
焅	酷
鷹	鹰
𫟹	鉷
頒	颁
審	审
殠	臭
賙	赒
訮	詽
唕	唣
爐	炉
樬	棇
飡	餐
劸	逼
璽	玺
龱	四
𫝐	前
艫	舻
癏	瘝
薎	蔑
訲	啻
𪭋	哉
𣪕	簋
墜	坠
𫞣	㹽
萵	莴
廬	庐
𫇏	臸
兿	藝
𫟟	詊
熍	焪
㡭	繼
頌	颂
饳	馉
紲	绁
餟	啜
䳈	鴇
蒼	苍
稟	禀
釠	乱
隣	邻
撻	挞
𥲃	筘
評	评
扥	扽
𠜶	腦
検	检
譜	谱
歞	歁
䟽	疏
諺	谚
磽	硗
灑	洒
潂	洪
絈	帞
闁	褒
僳	傈
𫞐	権
陽	阳
劀	刮
漥	洼
冩	寫
𩪆	體
兠	兜
罇	樽
瀾	澜
曇	昙
祘	算
鶉	鹑
敆	合
髢	鬄
萴	荝
憲	宪
渾	浑
曏	向
簣	篑
軶	轭
魷	鱿
灕	漓
亱	夜
彟	蒦
萡	箔
𪭓	盟
翹	翘
𫝫	婡
徃	往
磲	砗
栕	桭
衛	卫
軤	轷
蔞	蒌
泘	滹
艊	舶
𣏪	欆
僽	僝
鋟	锓
愹	愑
誯	唱
覺	觉
値	值
鎡	镃
挍	校
闒	阘
錬	鍊
𣡖	韛
𫠜	齯
